City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,kapa'a,22.0752,-159.319,301.14,80,40,7.2,US,1699931272
159,wenchang,30.904,118.4887,283.77,41,0,1.27,CN,1699931272
160,minas de marcona,-15.2119,-75.1103,287.0,88,65,6.1,PE,1699931272
161,thompson,55.7435,-97.8558,271.24,86,75,1.54,CA,1699931198
162,san carlos,9.6612,-68.5827,297.59,86,99,1.49,VE,1699931272
163,klyuchi,52.2667,79.1667,275.97,93,93,3.47,RU,1699931272
164,kununurra,-15.7667,128.7333,308.14,46,72,5.14,AU,1699931273
165,winnemucca,40.973,-117.7357,284.5,23,100,1.96,US,1699931273
166,cabo san lucas,22.8909,-109.9124,300.79,60,0,4.63,MX,1699931025
167,celestun,20.8667,-90.4,298.85,87,85,6.08,MX,1699931273
168,ust-nera,64.5667,143.2,245.37,97,55,2.3,RU,1699931145
169,fuerte olimpo,-21.0415,-57.8738,301.56,57,54,1.14,PY,1699931273
170,piacabucu,-10.4056,-36.4344,297.32,87,91,2.85,BR,1699931273
171,holualoa,19.6228,-155.9522,299.14,76,75,3.6,US,1699931273
172,arraial do cabo,-22.9661,-42.0278,299.13,83,0,3.6,BR,1699930994
173,suoyarvi,62.0833,32.35,270.22,92,99,3.35,RU,1699931274
174,khuzdar,27.7384,66.6434,288.92,30,33,0.91,PK,1699931274
175,anadyr,64.75,177.4833,259.43,71,7,12.0,RU,1699931274
176,floro,61.5996,5.0328,278.69,75,9,3.6,NO,1699931003
177,enewetak,11.3474,162.3373,301.58,79,83,8.65,MH,1699931274
178,konarka,19.9,86.1167,298.37,61,98,5.31,IN,1699931274
179,kodiak,57.79,-152.4072,277.88,48,0,4.63,US,1699931210
180,luau,-10.7073,22.2247,291.15,90,99,1.44,AO,1699931275
181,nakhodka,42.8333,132.8947,273.7,40,0,2.86,RU,1699931275
182,sinop,41.7711,34.8709,283.56,96,100,5.79,TR,1699931275
183,inari,68.906,27.0288,254.26,98,28,1.21,FI,1699931005
184,qaqortoq,60.7167,-46.0333,266.17,95,94,1.67,GL,1699931202
185,alofi,-19.0595,-169.9187,299.09,89,100,5.14,NU,1699931275
186,vorgashor,67.5833,63.95,260.59,88,100,3.69,RU,1699931275
187,guarapari,-20.6667,-40.4975,298.65,79,98,4.26,BR,1699931089
188,sorong,-0.8833,131.25,302.45,68,87,2.3,ID,1699931276
189,kozhevnikovo,56.2589,83.9714,271.07,86,74,2.27,RU,1699931276
190,decorah,43.3033,-91.7857,280.66,33,0,2.06,US,1699931276
191,ola,59.5833,151.2833,256.56,72,64,5.07,RU,1699931276
192,aldan,58.6031,125.3894,262.54,85,100,2.05,RU,1699931276
193,tsiombe,-25.3,45.4833,294.75,83,93,3.58,MG,1699931171
194,mount pearl,47.5166,-52.7813,272.29,82,97,1.34,CA,1699931276
195,padul,37.018,-3.6693,287.62,51,99,1.97,ES,1699931277
196,alaghsas,17.0187,8.0168,296.1,15,3,4.51,NE,1699931277
197,brookings,44.3114,-96.7984,284.47,43,0,7.72,US,1699930997
198,lorengau,-2.0226,147.2712,300.94,81,98,3.03,PG,1699931277
199,cafayate,-26.073,-65.9761,291.08,75,41,2.32,AR,1699931277
200,ulsteinvik,62.3432,5.8487,276.35,75,2,4.47,NO,1699931277
201,tamanrasset,22.785,5.5228,289.1,25,0,3.09,DZ,1699931058
202,champerico,14.3,-91.9167,301.31,80,34,1.25,GT,1699931278
203,nagqu,31.5,92.0,268.92,28,100,2.1,CN,1699931278
204,kulhudhuffushi,6.6221,73.07,300.79,74,29,1.35,MV,1699931278
205,rockland,41.1668,-74.0496,281.29,71,91,2.6,US,1699931278
206,pierre,44.3683,-100.351,288.3,35,0,3.09,US,1699931052
207,nemuro,43.3236,145.575,278.37,53,13,9.49,JP,1699931278
208,san pedro,14.35,121.0167,305.01,69,100,4.92,PH,1699931278
209,kudymkar,59.0173,54.656,276.54,97,100,5.1,RU,1699931279
210,kenai,60.5544,-151.2583,272.2,96,0,3.09,US,1699931279
211,al bawiti,28.3492,28.8659,291.76,56,0,2.31,EG,1699931279
212,nabire,-3.3667,135.4833,305.24,55,60,2.57,ID,1699931279
213,labrador city,52.9463,-66.9114,261.5,97,79,0.8,CA,1699931279
214,beloyarskiy,63.7119,66.6722,264.82,92,100,3.58,RU,1699931280
215,wuwei,37.9281,102.6414,278.48,29,0,1.47,CN,1699931280
216,san jose de mayo,-34.3375,-56.7136,286.76,75,100,3.06,UY,1699931280
217,taghazout,30.5426,-9.7112,290.58,33,0,2.27,MA,1699931280
218,inhambane,-23.865,35.3833,294.78,71,100,6.84,MZ,1699931280
219,senador jose porfirio,-2.5908,-51.9542,300.45,53,100,1.67,BR,1699931280
220,claudio,-20.4433,-44.7658,296.45,45,12,1.97,BR,1699931250
221,rengasdengklok,-6.1592,107.2981,305.22,60,99,1.85,ID,1699931281
222,vikindu,-7.0067,39.2985,296.98,94,5,0.82,TZ,1699931281
223,nema,57.5067,50.5011,277.27,86,100,4.96,RU,1699931281
224,marka,1.7159,44.7717,300.01,81,95,3.19,SO,1699931281
225,afaahiti,-17.75,-149.2833,301.08,90,94,6.42,PF,1699931182
226,sorsk,54.0033,90.2467,271.4,88,100,2.78,RU,1699931281
